brand,model,year,age_years,mileage_km,fuel_type,transmission,region,accident_history,owners_count,engine_cc,price_krw,export_demand_index
Kia,K5,2019,7,111368,Гибрид,Автомат,Инчхон,0,2,2199,5700000,0.743
Kia,Sportage,2025,1,14148,Гибрид,Автомат,Ульсан,1,2,2199,27000000,0.662
Chevrolet,Trailblazer,2026,0,1815,Бензин,Автомат,Сеул,0,3,2199,28400000,0.872
Chevrolet,Trailblazer,2024,2,9126,LPG,Механика,Пусан,0,2,1998,21000000,0.799
Renault Korea,QM6,2019,7,106355,Дизель,Автомат,Тэгу,1,1,2999,4200000,0.654
Renault Korea,QM6,2019,7,132710,Бензин,Автомат,Сеул,0,2,2199,5000000,0.872
Renault Korea,QM6,2026,0,2549,Дизель,Автомат,Тэгу,0,2,1998,25400000,0.872
Hyundai,Sonata,2022,4,58903,Бензин,Автомат,Тэгу,0,3,2999,17000000,1.063
Kia,Sportage,2021,5,67379,Гибрид,Автомат,Пусан,0,2,2199,13500000,1.142
Hyundai,Santa Fe,2022,4,73759,Бензин,Автомат,Инчхон,0,2,1998,21200000,1.328
Hyundai,Sonata,2019,7,103167,Дизель,Автомат,Ульсан,1,3,2199,4000000,0.616
Genesis,G80,2026,0,500,Дизель,Автомат,Сеул,1,1,2999,43700000,0.847
Hyundai,Avante,2026,0,500,LPG,Автомат,Инчхон,0,3,1600,18800000,0.65
Chevrolet,Trailblazer,2024,2,36369,Бензин,Автомат,Ульсан,0,3,2497,19900000,1.129
Genesis,G80,2018,8,138098,Бензин,Автомат,Инчхон,0,3,2999,8200000,1.129
Kia,K5,2019,7,129453,Гибрид,Автомат,Ульсан,1,3,1998,3900000,0.557
Kia,K5,2017,9,107256,Бензин,Автомат,Кёнгидо (Ансан),1,3,2497,3900000,0.616
Hyundai,Avante,2024,2,15452,Бензин,Автомат,Ульсан,0,2,1600,15900000,0.93
Kia,K5,2026,0,709,Бензин,Автомат,Ульсан,0,3,2199,23000000,0.821
Kia,K5,2020,6,96586,Дизель,Автомат,Инчхон,0,1,1998,9300000,1.063
Kia,Sportage,2017,9,147078,Гибрид,Автомат,Пусан,0,2,2999,4600000,0.882
Renault Korea,QM6,2024,2,30288,Бензин,Автомат,Тэгу,1,3,2199,15200000,0.847
Genesis,G80,2025,1,3371,Бензин,Автомат,Инчхон,0,2,1600,51000000,1.129
Hyundai,Tucson,2017,9,112648,Бензин,Автомат,Тэгу,0,1,1600,4800000,0.924
Hyundai,Avante,2021,5,54290,Гибрид,Автомат,Пусан,0,1,2199,10400000,0.841
Hyundai,Sonata,2018,8,133854,Дизель,Автомат,Инчхон,0,2,1600,4000000,0.821
Renault Korea,QM6,2024,2,28362,Дизель,Автомат,Сеул,0,2,2497,22200000,1.129
Ssangyong,Torres,2021,5,65851,Бензин,Автомат,Сеул,0,3,2497,11200000,1.195
Hyundai,Santa Fe,2023,3,52526,Бензин,Автомат,Пусан,0,1,2999,24400000,1.328
Hyundai,Tucson,2019,7,147234,Бензин,Автомат,Тэгу,0,1,1600,7900000,0.924
Chevrolet,Trailblazer,2021,5,55255,Бензин,Механика,Пусан,0,2,2199,10600000,0.884
Ssangyong,Torres,2024,2,20522,Бензин,Автомат,Инчхон,1,1,1600,22700000,0.897
Ssangyong,Torres,2024,2,20594,Бензин,Автомат,Пусан,0,3,1998,22800000,1.195
Chevrolet,Trailblazer,2016,10,133674,Бензин,Автомат,Сеул,1,2,1998,4200000,0.654
Hyundai,Avante,2025,1,14665,Дизель,Автомат,Пусан,0,3,2199,17600000,0.718
Kia,K5,2016,10,114647,Гибрид,Автомат,Пусан,0,1,1998,3900000,0.743
Renault Korea,QM6,2022,4,80671,Бензин,Автомат,Кёнгидо (Ансан),0,2,1998,13500000,1.129
Kia,Sportage,2026,0,1114,Бензин,Автомат,Инчхон,0,1,1998,28800000,0.975
Kia,Sorento,2018,8,119241,Бензин,Автомат,Кёнгидо (Ансан),0,2,2199,5600000,1.026
Hyundai,Avante,2024,2,10813,Бензин,Автомат,Пусан,0,1,2999,14500000,0.93
Kia,Sportage,2016,10,118355,Бензин,Автомат,Кёнгидо (Ансан),1,1,2497,4600000,0.731
Kia,Carnival,2022,4,69888,Дизель,Автомат,Сеул,0,3,2199,25600000,1.395
Kia,Carnival,2016,10,210907,Бензин,Автомат,Инчхон,0,3,2497,6300000,1.078
Kia,Sportage,2025,1,21426,Бензин,Автомат,Ульсан,0,1,2999,27300000,0.975
Hyundai,Avante,2021,5,74109,Бензин,Автомат,Кёнгидо (Ансан),1,1,1600,8200000,0.697
Kia,Sorento,2016,10,151124,Бензин,Автомат,Инчхон,0,3,2497,5600000,1.026
Kia,Carnival,2024,2,13947,Дизель,Автомат,Ульсан,1,1,2497,28200000,1.046
Kia,Sportage,2019,7,106591,Бензин,Автомат,Пусан,0,1,2497,6700000,0.975
Ssangyong,Torres,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),1,2,2497,26000000,0.693
Hyundai,Avante,2019,7,116173,Бензин,Автомат,Пусан,0,3,2999,4300000,0.718
Genesis,G80,2018,8,133293,Дизель,Автомат,Кёнгидо (Ансан),0,3,2497,8200000,1.129
Genesis,G80,2020,6,95648,Дизель,Автомат,Пусан,0,2,2199,19700000,1.461
Hyundai,Santa Fe,2019,7,122396,Бензин,Автомат,Сеул,1,3,2497,5700000,0.77
Hyundai,Sonata,2018,8,136232,Гибрид,Автомат,Сеул,0,2,2497,4000000,0.743
Hyundai,Avante,2020,6,113570,Бензин,Автомат,Пусан,0,1,2497,7600000,0.93
Ssangyong,Torres,2017,9,113116,Дизель,Автомат,Ульсан,0,3,1998,4500000,0.924
Renault Korea,QM6,2016,10,111931,Гибрид,Автомат,Пусан,0,2,2497,3900000,0.789
Kia,Carnival,2023,3,56260,Гибрид,Автомат,Кёнгидо (Ансан),0,1,1998,27900000,1.262
Genesis,G80,2018,8,92332,LPG,Автомат,Ульсан,0,1,2199,8200000,1.021
Kia,Carnival,2016,10,163225,Гибрид,Автомат,Сеул,0,3,2999,6300000,0.975
Hyundai,Sonata,2021,5,87645,LPG,Механика,Сеул,0,2,2497,13200000,0.752
Genesis,G80,2025,1,18873,Бензин,Автомат,Кёнгидо (Ансан),1,3,2999,46900000,0.847
Genesis,G80,2018,8,91384,Бензин,Автомат,Ульсан,0,1,1998,8200000,1.129
Kia,K5,2026,0,500,Дизель,Автомат,Кёнгидо (Ансан),0,1,1600,25700000,0.821
Kia,Sorento,2017,9,171646,Дизель,Автомат,Инчхон,0,3,2199,5600000,1.026
Chevrolet,Trailblazer,2020,6,93021,Бензин,Автомат,Инчхон,0,1,2999,9900000,1.129
Renault Korea,QM6,2019,7,120096,Гибрид,Механика,Ульсан,0,3,2497,3900000,0.618
Hyundai,Sonata,2026,0,9829,Дизель,Автомат,Пусан,0,3,2497,24800000,0.821
Hyundai,Avante,2018,8,78547,Бензин,Автомат,Сеул,0,2,2199,3000000,0.718
Kia,K5,2026,0,1461,Бензин,Автомат,Инчхон,0,3,2199,27700000,0.821
Kia,Sorento,2020,6,64189,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,11300000,1.328
Hyundai,Sonata,2023,3,46210,Бензин,Автомат,Кёнгидо (Ансан),0,3,2999,15400000,1.063
Hyundai,Tucson,2025,1,3469,Гибрид,Автомат,Сеул,0,3,1600,28700000,0.836
Renault Korea,QM6,2021,5,85657,Бензин,Механика,Ульсан,0,2,2199,11700000,0.884
Chevrolet,Trailblazer,2020,6,92760,Бензин,Автомат,Тэгу,0,3,2199,8700000,1.129
Kia,Sportage,2022,4,37621,Бензин,Автомат,Ульсан,0,2,2199,15900000,1.262
Renault Korea,QM6,2023,3,51611,Бензин,Автомат,Ульсан,0,2,2497,15900000,1.129
Kia,K5,2016,10,171881,Бензин,Механика,Ульсан,0,1,2999,3900000,0.643
Renault Korea,QM6,2019,7,111765,Дизель,Автомат,Инчхон,0,2,2199,5500000,0.872
Hyundai,Tucson,2016,10,175404,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,4800000,0.924
Ssangyong,Torres,2024,2,24421,Бензин,Автомат,Кёнгидо (Ансан),0,3,1998,24300000,1.195
Kia,K5,2016,10,134854,Гибрид,Автомат,Кёнгидо (Ансан),0,3,1998,3900000,0.743
Kia,K5,2021,5,89814,Дизель,Автомат,Тэгу,0,2,2199,11100000,1.063
Kia,Sorento,2020,6,51897,Гибрид,Автомат,Инчхон,1,2,2999,12800000,0.901
Ssangyong,Torres,2020,6,77349,Бензин,Автомат,Кёнгидо (Ансан),1,3,2497,6700000,0.897
Hyundai,Tucson,2022,4,61579,Бензин,Автомат,Сеул,1,3,1600,11700000,0.897
Genesis,G80,2022,4,59131,LPG,Автомат,Тэгу,0,1,1600,33400000,1.322
Renault Korea,QM6,2021,5,89056,Гибрид,Автомат,Тэгу,1,1,2199,9900000,0.766
Kia,Sorento,2019,7,43522,Бензин,Автомат,Инчхон,0,2,2497,6700000,1.026
Hyundai,Tucson,2017,9,122199,Бензин,Механика,Пусан,0,2,2199,4800000,0.723
Kia,K5,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),0,3,2497,28100000,0.821
Kia,Carnival,2019,7,136951,Бензин,Автомат,Ульсан,0,2,2999,8500000,1.078
Kia,Sorento,2024,2,39132,Дизель,Автомат,Тэгу,0,1,2999,27200000,1.328
Hyundai,Sonata,2020,6,93931,Бензин,Механика,Кёнгидо (Ансан),0,2,2199,6900000,0.832
Hyundai,Sonata,2024,2,30295,LPG,Автомат,Кёнгидо (Ансан),0,3,2497,19700000,0.961
Hyundai,Tucson,2017,9,141114,Дизель,Автомат,Кёнгидо (Ансан),0,3,2497,4800000,0.924
Kia,Carnival,2018,8,115820,Дизель,Автомат,Пусан,0,3,1998,6300000,1.078
Hyundai,Sonata,2018,8,164475,Бензин,Автомат,Инчхон,0,1,2199,4200000,0.821
Ssangyong,Torres,2025,1,12142,Бензин,Автомат,Инчхон,0,1,2497,25000000,0.924
Kia,K5,2024,2,25947,Бензин,Автомат,Тэгу,0,2,1998,20500000,1.063
Genesis,G80,2024,2,37731,Бензин,Автомат,Сеул,0,2,2999,40100000,1.461
Kia,Sportage,2022,4,48479,LPG,Автомат,Кёнгидо (Ансан),1,3,2999,15300000,0.856
Genesis,G80,2026,0,2469,Бензин,Автомат,Тэгу,1,2,2999,42400000,0.847
Hyundai,Santa Fe,2018,8,155349,Бензин,Автомат,Ульсан,0,3,2497,5700000,1.026
Kia,Carnival,2023,3,42291,Бензин,Механика,Тэгу,1,2,1600,26400000,0.819
Genesis,G80,2016,10,138798,Дизель,Автомат,Инчхон,0,3,1998,8200000,1.129
Renault Korea,QM6,2022,4,59421,Гибрид,Автомат,Тэгу,0,3,2497,14200000,1.021
Hyundai,Tucson,2024,2,31282,Бензин,Автомат,Инчхон,0,1,1998,24200000,1.195
Kia,Sorento,2021,5,53155,Дизель,Механика,Сеул,0,2,1998,16000000,1.04
Renault Korea,QM6,2016,10,182249,Бензин,Автомат,Сеул,0,1,2497,3900000,0.872
Kia,Carnival,2023,3,44931,Гибрид,Автомат,Ульсан,1,1,2497,25400000,0.946
Kia,Sportage,2022,4,74875,Гибрид,Автомат,Тэгу,0,2,1600,15600000,1.142
Kia,K5,2018,8,120723,Гибрид,Автомат,Ульсан,1,2,1600,3900000,0.557
Kia,K5,2022,4,42308,Дизель,Автомат,Сеул,0,3,2497,14500000,1.063
Hyundai,Avante,2019,7,93765,Гибрид,Механика,Сеул,1,3,1600,3500000,0.382
Renault Korea,QM6,2026,0,895,Гибрид,Автомат,Ульсан,1,2,1998,22600000,0.592
Hyundai,Sonata,2018,8,85192,Дизель,Автомат,Ульсан,0,1,2999,4000000,0.821
Genesis,G80,2022,4,54531,Бензин,Механика,Кёнгидо (Ансан),0,2,2497,28500000,1.143
Hyundai,Avante,2024,2,30598,Бензин,Автомат,Кёнгидо (Ансан),1,1,2199,13300000,0.697
Genesis,G80,2025,1,14678,Бензин,Автомат,Кёнгидо (Ансан),1,1,1998,42600000,0.847
Hyundai,Sonata,2017,9,117126,Бензин,Автомат,Сеул,0,1,1998,4000000,0.821
Hyundai,Tucson,2021,5,67354,Дизель,Автомат,Тэгу,0,2,2199,15400000,1.195
Hyundai,Sonata,2021,5,68877,Бензин,Автомат,Тэгу,1,1,2497,7700000,0.797
Hyundai,Avante,2017,9,125294,Дизель,Автомат,Тэгу,0,3,2199,3000000,0.718
Kia,Sorento,2020,6,71728,Дизель,Автомат,Пусан,0,3,2497,13000000,1.328
Kia,Sorento,2023,3,68480,Гибрид,Автомат,Кёнгидо (Ансан),0,1,2497,25100000,1.202
Kia,Carnival,2020,6,119559,Дизель,Автомат,Пусан,0,3,2199,13600000,1.395
Kia,Sorento,2022,4,40068,Бензин,Автомат,Инчхон,0,3,1600,18500000,1.328
Renault Korea,QM6,2025,1,16650,Дизель,Автомат,Инчхон,0,3,1998,23600000,0.872
Ssangyong,Torres,2023,3,28330,Бензин,Автомат,Ульсан,0,3,2999,18800000,1.195
Genesis,G80,2017,9,160656,Дизель,Автомат,Инчхон,0,1,1998,8200000,1.129
Renault Korea,QM6,2016,10,118138,Дизель,Автомат,Инчхон,0,2,2199,3900000,0.872
Kia,K5,2025,1,11647,Бензин,Автомат,Сеул,0,3,1600,22700000,0.821
Hyundai,Tucson,2017,9,155047,Дизель,Автомат,Инчхон,1,1,1600,4800000,0.693
Kia,Sportage,2026,0,1159,Бензин,Автомат,Пусан,0,3,2497,29100000,0.975
Hyundai,Santa Fe,2024,2,16299,Бензин,Автомат,Пусан,0,3,1998,27600000,1.328
Kia,Sportage,2026,0,1066,Дизель,Автомат,Пусан,0,3,1600,26700000,0.975
Hyundai,Santa Fe,2025,1,7051,Бензин,Автомат,Сеул,1,2,2999,27600000,0.77
Hyundai,Avante,2016,10,115302,Гибрид,Механика,Инчхон,1,3,1600,3000000,0.382
Kia,K5,2016,10,135619,Бензин,Автомат,Пусан,0,3,2497,3900000,0.821
Kia,K5,2023,3,35683,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,19500000,1.063
Renault Korea,QM6,2019,7,77890,Дизель,Автомат,Кёнгидо (Ансан),0,1,2497,3900000,0.872
Genesis,G80,2019,7,82423,Дизель,Автомат,Сеул,0,1,1600,15100000,1.129
Ssangyong,Torres,2018,8,110783,Гибрид,Автомат,Ульсан,0,1,1600,4500000,0.836
Kia,Sorento,2025,1,16894,Дизель,Автомат,Кёнгидо (Ансан),0,1,1998,33300000,1.026
Kia,Sportage,2022,4,66546,Гибрид,Автомат,Инчхон,0,1,2199,16100000,1.142
Ssangyong,Torres,2022,4,45239,Гибрид,Автомат,Ульсан,0,2,2999,15500000,1.082
Hyundai,Avante,2016,10,133777,Дизель,Автомат,Ульсан,0,1,2999,3000000,0.718
Kia,K5,2023,3,40727,Дизель,Автомат,Инчхон,1,1,2999,16600000,0.797
Hyundai,Avante,2026,0,500,Бензин,Автомат,Ульсан,1,1,2199,17500000,0.539
Hyundai,Avante,2021,5,92649,Бензин,Автомат,Кёнгидо (Ансан),0,2,2497,9000000,0.93
Genesis,G80,2021,5,92566,Дизель,Автомат,Кёнгидо (Ансан),1,1,2199,13900000,1.096
Genesis,G80,2026,0,4635,Бензин,Автомат,Кёнгидо (Ансан),1,1,2999,45300000,0.847
Renault Korea,QM6,2019,7,142261,Дизель,Автомат,Ульсан,0,2,2497,5300000,0.872
Hyundai,Avante,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),0,1,2999,19100000,0.718
Kia,Sportage,2023,3,43868,Гибрид,Механика,Сеул,1,1,2199,18900000,0.67
Hyundai,Tucson,2018,8,135633,Бензин,Автомат,Тэгу,0,3,1600,4800000,0.924
Renault Korea,QM6,2026,0,3087,Гибрид,Автомат,Сеул,0,2,2999,26100000,0.789
Ssangyong,Torres,2026,0,794,Бензин,Автомат,Сеул,0,3,2999,29200000,0.924
Ssangyong,Torres,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),0,2,2199,33100000,0.924
Hyundai,Tucson,2018,8,124582,Бензин,Автомат,Пусан,1,1,1998,4800000,0.693
Kia,Carnival,2023,3,35747,Дизель,Автомат,Пусан,0,2,2199,25700000,1.395
Kia,Sportage,2016,10,159132,Бензин,Автомат,Кёнгидо (Ансан),0,3,2199,4600000,0.975
Hyundai,Santa Fe,2023,3,53120,Бензин,Автомат,Ульсан,1,2,2999,19600000,0.996
Genesis,G80,2022,4,46740,Бензин,Автомат,Пусан,0,1,1600,25700000,1.461
Kia,Carnival,2018,8,78297,Бензин,Автомат,Ульсан,0,3,2199,6300000,1.078
Kia,K5,2024,2,23612,Бензин,Автомат,Инчхон,0,2,2497,20700000,1.063
Kia,K5,2024,2,26409,Гибрид,Автомат,Ульсан,0,3,2497,21800000,0.961
Kia,Sorento,2020,6,90295,Дизель,Автомат,Ульсан,0,3,2999,9400000,1.328
Kia,Carnival,2026,0,2317,Гибрид,Автомат,Сеул,0,1,1600,40100000,0.975
Genesis,G80,2025,1,14521,Бензин,Автомат,Инчхон,0,3,2199,45600000,1.129
Kia,Carnival,2026,0,500,Дизель,Механика,Тэгу,0,1,2199,39500000,0.843
Chevrolet,Trailblazer,2021,5,83038,Гибрид,Механика,Тэгу,0,1,1600,13400000,0.799
Hyundai,Sonata,2025,1,7639,Бензин,Автомат,Тэгу,0,3,1600,21500000,0.821
Hyundai,Santa Fe,2024,2,18784,Дизель,Автомат,Инчхон,0,3,2497,32800000,1.328
Kia,Sorento,2020,6,63340,Бензин,Автомат,Пусан,0,1,2497,11200000,1.328
Hyundai,Tucson,2026,0,500,Гибрид,Автомат,Кёнгидо (Ансан),0,2,1998,33600000,0.836
Chevrolet,Trailblazer,2022,4,71033,Дизель,Автомат,Сеул,0,3,2497,17900000,1.129
Kia,Sportage,2021,5,86323,Бензин,Автомат,Ульсан,0,2,2999,15000000,1.262
Ssangyong,Torres,2016,10,104467,Бензин,Автомат,Ульсан,0,1,2999,4500000,0.924
Ssangyong,Torres,2020,6,78359,Бензин,Автомат,Инчхон,0,3,1998,10200000,1.195
Hyundai,Sonata,2024,2,30566,Гибрид,Автомат,Тэгу,0,3,1998,22400000,0.961
Ssangyong,Torres,2016,10,141353,Дизель,Автомат,Кёнгидо (Ансан),0,1,1600,4500000,0.924
Hyundai,Tucson,2018,8,156811,Дизель,Автомат,Тэгу,0,3,2497,4800000,0.924
Ssangyong,Torres,2020,6,83429,LPG,Автомат,Инчхон,0,2,2497,7200000,1.082
Chevrolet,Trailblazer,2019,7,81723,Бензин,Автомат,Пусан,0,3,2199,6000000,0.872
Hyundai,Avante,2018,8,92627,Бензин,Автомат,Ульсан,0,3,1998,3000000,0.718
Hyundai,Santa Fe,2017,9,168652,Бензин,Автомат,Тэгу,1,1,2497,5700000,0.77
Chevrolet,Trailblazer,2025,1,26828,Гибрид,Автомат,Ульсан,0,1,1998,24600000,0.789
Kia,Sportage,2018,8,97511,Бензин,Автомат,Тэгу,1,2,2199,4600000,0.731
Genesis,G80,2021,5,67526,LPG,Автомат,Тэгу,0,1,2199,25000000,1.322
Renault Korea,QM6,2017,9,111306,Бензин,Автомат,Кёнгидо (Ансан),1,2,1600,3900000,0.654
Kia,Sportage,2025,1,21615,Дизель,Автомат,Кёнгидо (Ансан),1,1,1600,20900000,0.731
Ssangyong,Torres,2020,6,102598,LPG,Автомат,Пусан,1,1,1998,7300000,0.811
Hyundai,Tucson,2022,4,76523,LPG,Автомат,Пусан,0,1,2199,14400000,1.082
Kia,K5,2023,3,58299,Бензин,Автомат,Инчхон,0,3,2497,17100000,1.063
Genesis,G80,2020,6,82065,Бензин,Автомат,Сеул,0,3,2497,18500000,1.461
Kia,K5,2025,1,21483,Бензин,Автомат,Пусан,0,1,2999,23000000,0.821
Kia,Carnival,2022,4,70820,Дизель,Автомат,Ульсан,1,3,2497,17100000,1.046
Kia,Carnival,2021,5,86741,LPG,Автомат,Сеул,0,2,2199,17600000,1.262
Kia,Sorento,2020,6,60769,Бензин,Автомат,Ульсан,0,3,1998,13000000,1.328
Chevrolet,Trailblazer,2022,4,79317,Гибрид,Механика,Ульсан,0,2,2999,15800000,0.799
Kia,Sportage,2023,3,58316,Бензин,Автомат,Тэгу,0,3,2497,21800000,1.262
Kia,K5,2024,2,27925,Гибрид,Автомат,Тэгу,1,1,1998,17500000,0.721
Hyundai,Tucson,2019,7,96136,Бензин,Автомат,Кёнгидо (Ансан),0,3,2999,8000000,0.924
Renault Korea,QM6,2018,8,153520,Бензин,Автомат,Инчхон,0,2,2999,3900000,0.872
Kia,Sportage,2021,5,84943,Бензин,Автомат,Инчхон,0,2,1600,12400000,1.262
Kia,Sorento,2019,7,138130,Дизель,Автомат,Тэгу,0,2,1998,8100000,1.026
Hyundai,Santa Fe,2016,10,148350,LPG,Автомат,Инчхон,1,1,2199,5700000,0.696
Hyundai,Tucson,2019,7,99276,Дизель,Автомат,Пусан,1,1,1998,7500000,0.693
Hyundai,Tucson,2024,2,23759,Бензин,Автомат,Пусан,0,3,2199,22400000,1.195
Kia,K5,2019,7,91989,Гибрид,Автомат,Кёнгидо (Ансан),0,2,2999,6500000,0.743
Hyundai,Tucson,2023,3,42761,Бензин,Автомат,Инчхон,0,3,2999,20100000,1.195
Hyundai,Santa Fe,2017,9,110424,Бензин,Автомат,Кёнгидо (Ансан),0,3,1998,5700000,1.026
Kia,K5,2017,9,130722,Дизель,Автомат,Пусан,0,2,2497,3900000,0.821
Renault Korea,QM6,2020,6,93090,Гибрид,Механика,Ульсан,0,1,2497,8700000,0.799
Kia,Carnival,2023,3,43997,Бензин,Автомат,Кёнгидо (Ансан),0,1,1600,28500000,1.395
Kia,Carnival,2024,2,24156,Бензин,Автомат,Тэгу,0,2,2497,31100000,1.395
Kia,K5,2020,6,78972,Гибрид,Механика,Сеул,0,2,2199,9700000,0.752
Kia,Carnival,2020,6,106949,Бензин,Автомат,Тэгу,0,2,1600,13900000,1.395
Chevrolet,Trailblazer,2020,6,70998,Бензин,Автомат,Пусан,1,1,2999,6000000,0.847
Renault Korea,QM6,2017,9,92834,Дизель,Автомат,Тэгу,1,3,2497,3900000,0.654
Kia,K5,2022,4,64815,Бензин,Автомат,Тэгу,0,1,1998,14700000,1.063
Kia,Carnival,2019,7,101507,Гибрид,Автомат,Кёнгидо (Ансан),0,1,2999,11000000,0.975
Renault Korea,QM6,2022,4,59203,Бензин,Автомат,Ульсан,0,1,2497,16800000,1.129
Kia,K5,2017,9,137010,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,3900000,0.821
Hyundai,Avante,2020,6,106924,Бензин,Автомат,Кёнгидо (Ансан),0,3,2497,8100000,0.93
Hyundai,Santa Fe,2019,7,153711,LPG,Автомат,Пусан,0,2,2199,8500000,0.929
Kia,Sorento,2016,10,151590,LPG,Автомат,Кёнгидо (Ансан),0,3,2497,5600000,0.929
Genesis,G80,2025,1,20258,Гибрид,Автомат,Кёнгидо (Ансан),0,3,2999,46400000,1.021
